[2025-04-08 00:47:09] VENDA FÁBRICA - ID: 3, Tipo: SEDAN, Cor: Vermelho, Estação: 3, Funcionário: 4, Posição Esteira Fábrica: 0, Loja: 0, Posição Esteira Loja: 0
[2025-04-08 00:47:12] VENDA FÁBRICA - ID: 16, Tipo: SUV, Cor: Verde, Estação: 1, Funcionário: 0, Posição Esteira Fábrica: 13, Loja: 2, Posição Esteira Loja: 4
[2025-04-08 00:47:12] VENDA FÁBRICA - ID: 12, Tipo: SUV, Cor: Vermelho, Estação: 1, Funcionário: 3, Posição Esteira Fábrica: 14, Loja: 0, Posição Esteira Loja: 5
[2025-04-08 00:47:13] VENDA FÁBRICA - ID: 13, Tipo: SEDAN, Cor: Verde, Estação: 3, Funcionário: 3, Posição Esteira Fábrica: 15, Loja: 1, Posição Esteira Loja: 4
[2025-04-08 00:47:13] VENDA FÁBRICA - ID: 17, Tipo: SEDAN, Cor: Azul, Estação: 1, Funcionário: 1, Posição Esteira Fábrica: 16, Loja: 2, Posição Esteira Loja: 5
[2025-04-08 00:47:13] VENDA FÁBRICA - ID: 20, Tipo: SUV, Cor: Azul, Estação: 0, Funcionário: 3, Posição Esteira Fábrica: 17, Loja: 1, Posição Esteira Loja: 5
[2025-04-08 00:47:13] VENDA FÁBRICA - ID: 19, Tipo: SEDAN, Cor: Verde, Estação: 3, Funcionário: 1, Posição Esteira Fábrica: 18, Loja: 0, Posição Esteira Loja: 6
[2025-04-08 00:47:14] VENDA FÁBRICA - ID: 18, Tipo: SUV, Cor: Vermelho, Estação: 2, Funcionário: 4, Posição Esteira Fábrica: 19, Loja: 2, Posição Esteira Loja: 6
[2025-04-08 00:47:14] VENDA FÁBRICA - ID: 21, Tipo: SEDAN, Cor: Vermelho, Estação: 3, Funcionário: 4, Posição Esteira Fábrica: 20, Loja: 1, Posição Esteira Loja: 6
[2025-04-08 00:47:14] VENDA FÁBRICA - ID: 22, Tipo: SUV, Cor: Verde, Estação: 2, Funcionário: 1, Posição Esteira Fábrica: 21, Loja: 0, Posição Esteira Loja: 7
[2025-04-08 00:47:14] VENDA FÁBRICA - ID: 23, Tipo: SEDAN, Cor: Azul, Estação: 1, Funcionário: 4, Posição Esteira Fábrica: 22, Loja: 2, Posição Esteira Loja: 7
[2025-04-08 00:47:15] VENDA FÁBRICA - ID: 24, Tipo: SUV, Cor: Vermelho, Estação: 0, Funcionário: 1, Posição Esteira Fábrica: 23, Loja: 1, Posição Esteira Loja: 7
[2025-04-08 00:47:15] VENDA FÁBRICA - ID: 25, Tipo: SEDAN, Cor: Verde, Estação: 0, Funcionário: 4, Posição Esteira Fábrica: 24, Loja: 0, Posição Esteira Loja: 8
[2025-04-08 00:47:15] VENDA FÁBRICA - ID: 27, Tipo: SEDAN, Cor: Vermelho, Estação: 1, Funcionário: 2, Posição Esteira Fábrica: 25, Loja: 2, Posição Esteira Loja: 8
[2025-04-08 00:47:16] VENDA FÁBRICA - ID: 26, Tipo: SUV, Cor: Azul, Estação: 3, Funcionário: 2, Posição Esteira Fábrica: 26, Loja: 1, Posição Esteira Loja: 8
[2025-04-08 00:47:16] VENDA FÁBRICA - ID: 28, Tipo: SUV, Cor: Verde, Estação: 2, Funcionário: 3, Posição Esteira Fábrica: 27, Loja: 0, Posição Esteira Loja: 9
[2025-04-08 00:47:16] VENDA FÁBRICA - ID: 30, Tipo: SUV, Cor: Vermelho, Estação: 2, Funcionário: 0, Posição Esteira Fábrica: 28, Loja: 2, Posição Esteira Loja: 9
[2025-04-08 00:47:16] VENDA FÁBRICA - ID: 31, Tipo: SEDAN, Cor: Verde, Estação: 1, Funcionário: 0, Posição Esteira Fábrica: 29, Loja: 0, Posição Esteira Loja: 10
[2025-04-08 00:47:17] VENDA FÁBRICA - ID: 29, Tipo: SEDAN, Cor: Azul, Estação: 3, Funcionário: 0, Posição Esteira Fábrica: 30, Loja: 1, Posição Esteira Loja: 9
[2025-04-08 00:47:17] VENDA FÁBRICA - ID: 32, Tipo: SUV, Cor: Azul, Estação: 0, Funcionário: 2, Posição Esteira Fábrica: 31, Loja: 2, Posição Esteira Loja: 10
[2025-04-08 00:47:17] VENDA FÁBRICA - ID: 34, Tipo: SUV, Cor: Verde, Estação: 1, Funcionário: 3, Posição Esteira Fábrica: 32, Loja: 1, Posição Esteira Loja: 10
[2025-04-08 00:47:17] VENDA FÁBRICA - ID: 33, Tipo: SEDAN, Cor: Vermelho, Estação: 0, Funcionário: 0, Posição Esteira Fábrica: 33, Loja: 0, Posição Esteira Loja: 11
[2025-04-08 00:47:18] VENDA FÁBRICA - ID: 35, Tipo: SEDAN, Cor: Azul, Estação: 2, Funcionário: 2, Posição Esteira Fábrica: 34, Loja: 2, Posição Esteira Loja: 11
[2025-04-08 00:47:18] VENDA FÁBRICA - ID: 36, Tipo: SUV, Cor: Vermelho, Estação: 3, Funcionário: 3, Posição Esteira Fábrica: 35, Loja: 1, Posição Esteira Loja: 11
[2025-04-08 00:47:18] VENDA FÁBRICA - ID: 37, Tipo: SEDAN, Cor: Verde, Estação: 3, Funcionário: 1, Posição Esteira Fábrica: 36, Loja: 0, Posição Esteira Loja: 12
[2025-04-08 00:47:18] VENDA FÁBRICA - ID: 39, Tipo: SEDAN, Cor: Vermelho, Estação: 2, Funcionário: 4, Posição Esteira Fábrica: 37, Loja: 2, Posição Esteira Loja: 12
[2025-04-08 00:47:19] VENDA FÁBRICA - ID: 38, Tipo: SUV, Cor: Azul, Estação: 1, Funcionário: 1, Posição Esteira Fábrica: 38, Loja: 1, Posição Esteira Loja: 12
[2025-04-08 00:47:19] VENDA FÁBRICA - ID: 40, Tipo: SUV, Cor: Verde, Estação: 0, Funcionário: 3, Posição Esteira Fábrica: 39, Loja: 0, Posição Esteira Loja: 13
[2025-04-08 00:47:19] VENDA FÁBRICA - ID: 42, Tipo: SUV, Cor: Vermelho, Estação: 0, Funcionário: 1, Posição Esteira Fábrica: 0, Loja: 2, Posição Esteira Loja: 13
[2025-04-08 00:47:19] VENDA FÁBRICA - ID: 41, Tipo: SEDAN, Cor: Azul, Estação: 1, Funcionário: 4, Posição Esteira Fábrica: 1, Loja: 1, Posição Esteira Loja: 13
[2025-04-08 00:47:20] VENDA FÁBRICA - ID: 43, Tipo: SEDAN, Cor: Verde, Estação: 3, Funcionário: 4, Posição Esteira Fábrica: 2, Loja: 0, Posição Esteira Loja: 14
[2025-04-08 00:47:20] VENDA FÁBRICA - ID: 44, Tipo: SUV, Cor: Azul, Estação: 2, Funcionário: 1, Posição Esteira Fábrica: 3, Loja: 2, Posição Esteira Loja: 14
[2025-04-08 00:47:20] VENDA FÁBRICA - ID: 47, Tipo: SEDAN, Cor: Azul, Estação: 1, Funcionário: 2, Posição Esteira Fábrica: 4, Loja: 1, Posição Esteira Loja: 14
[2025-04-08 00:47:21] VENDA FÁBRICA - ID: 46, Tipo: SUV, Cor: Verde, Estação: 3, Funcionário: 2, Posição Esteira Fábrica: 5, Loja: 0, Posição Esteira Loja: 15
[2025-04-08 00:47:21] VENDA FÁBRICA - ID: 45, Tipo: SEDAN, Cor: Vermelho, Estação: 2, Funcionário: 3, Posição Esteira Fábrica: 6, Loja: 2, Posição Esteira Loja: 15
[2025-04-08 00:47:21] VENDA FÁBRICA - ID: 48, Tipo: SUV, Cor: Vermelho, Estação: 0, Funcionário: 4, Posição Esteira Fábrica: 7, Loja: 1, Posição Esteira Loja: 15
[2025-04-08 00:47:21] VENDA FÁBRICA - ID: 49, Tipo: SEDAN, Cor: Verde, Estação: 0, Funcionário: 2, Posição Esteira Fábrica: 8, Loja: 0, Posição Esteira Loja: 16
[2025-04-08 00:47:22] VENDA FÁBRICA - ID: 50, Tipo: SUV, Cor: Azul, Estação: 1, Funcionário: 0, Posição Esteira Fábrica: 9, Loja: 2, Posição Esteira Loja: 16
[2025-04-08 00:47:22] VENDA FÁBRICA - ID: 52, Tipo: SUV, Cor: Verde, Estação: 3, Funcionário: 0, Posição Esteira Fábrica: 10, Loja: 1, Posição Esteira Loja: 16
[2025-04-08 00:47:22] VENDA FÁBRICA - ID: 51, Tipo: SEDAN, Cor: Vermelho, Estação: 2, Funcionário: 0, Posição Esteira Fábrica: 11, Loja: 0, Posição Esteira Loja: 17
[2025-04-08 00:47:22] VENDA FÁBRICA - ID: 53, Tipo: SEDAN, Cor: Azul, Estação: 3, Funcionário: 3, Posição Esteira Fábrica: 12, Loja: 2, Posição Esteira Loja: 17
[2025-04-08 00:47:22] VENDA FÁBRICA - ID: 54, Tipo: SUV, Cor: Vermelho, Estação: 2, Funcionário: 2, Posição Esteira Fábrica: 13, Loja: 1, Posição Esteira Loja: 17
[2025-04-08 00:47:23] VENDA FÁBRICA - ID: 55, Tipo: SEDAN, Cor: Verde, Estação: 1, Funcionário: 3, Posição Esteira Fábrica: 14, Loja: 0, Posição Esteira Loja: 18
[2025-04-08 00:47:23] VENDA FÁBRICA - ID: 56, Tipo: SUV, Cor: Azul, Estação: 0, Funcionário: 0, Posição Esteira Fábrica: 15, Loja: 1, Posição Esteira Loja: 18
[2025-04-08 00:47:23] VENDA FÁBRICA - ID: 57, Tipo: SEDAN, Cor: Vermelho, Estação: 1, Funcionário: 1, Posição Esteira Fábrica: 16, Loja: 2, Posição Esteira Loja: 18
[2025-04-08 00:47:24] VENDA FÁBRICA - ID: 58, Tipo: SUV, Cor: Verde, Estação: 0, Funcionário: 3, Posição Esteira Fábrica: 17, Loja: 0, Posição Esteira Loja: 19
[2025-04-08 00:47:24] VENDA FÁBRICA - ID: 60, Tipo: SUV, Cor: Vermelho, Estação: 2, Funcionário: 4, Posição Esteira Fábrica: 18, Loja: 1, Posição Esteira Loja: 19
[2025-04-08 00:47:24] VENDA FÁBRICA - ID: 59, Tipo: SEDAN, Cor: Azul, Estação: 3, Funcionário: 1, Posição Esteira Fábrica: 19, Loja: 2, Posição Esteira Loja: 19
[2025-04-08 00:47:24] VENDA FÁBRICA - ID: 61, Tipo: SEDAN, Cor: Verde, Estação: 3, Funcionário: 4, Posição Esteira Fábrica: 20, Loja: 0, Posição Esteira Loja: 20
[2025-04-08 00:47:25] VENDA FÁBRICA - ID: 62, Tipo: SUV, Cor: Azul, Estação: 1, Funcionário: 4, Posição Esteira Fábrica: 21, Loja: 1, Posição Esteira Loja: 20
[2025-04-08 00:47:25] VENDA FÁBRICA - ID: 63, Tipo: SEDAN, Cor: Vermelho, Estação: 2, Funcionário: 1, Posição Esteira Fábrica: 22, Loja: 0, Posição Esteira Loja: 21
[2025-04-08 00:47:25] VENDA FÁBRICA - ID: 64, Tipo: SUV, Cor: Verde, Estação: 0, Funcionário: 1, Posição Esteira Fábrica: 23, Loja: 2, Posição Esteira Loja: 20
[2025-04-08 00:47:26] VENDA FÁBRICA - ID: 65, Tipo: SEDAN, Cor: Azul, Estação: 0, Funcionário: 4, Posição Esteira Fábrica: 24, Loja: 1, Posição Esteira Loja: 21
[2025-04-08 00:47:26] VENDA FÁBRICA - ID: 66, Tipo: SUV, Cor: Vermelho, Estação: 1, Funcionário: 2, Posição Esteira Fábrica: 25, Loja: 0, Posição Esteira Loja: 22
[2025-04-08 00:47:26] VENDA FÁBRICA - ID: 67, Tipo: SEDAN, Cor: Verde, Estação: 2, Funcionário: 3, Posição Esteira Fábrica: 26, Loja: 2, Posição Esteira Loja: 21
[2025-04-08 00:47:27] VENDA FÁBRICA - ID: 68, Tipo: SUV, Cor: Azul, Estação: 3, Funcionário: 2, Posição Esteira Fábrica: 27, Loja: 0, Posição Esteira Loja: 23
[2025-04-08 00:47:27] VENDA FÁBRICA - ID: 70, Tipo: SUV, Cor: Verde, Estação: 3, Funcionário: 0, Posição Esteira Fábrica: 28, Loja: 1, Posição Esteira Loja: 22
[2025-04-08 00:47:27] VENDA FÁBRICA - ID: 69, Tipo: SEDAN, Cor: Vermelho, Estação: 1, Funcionário: 0, Posição Esteira Fábrica: 29, Loja: 2, Posição Esteira Loja: 22
[2025-04-08 00:47:27] VENDA FÁBRICA - ID: 72, Tipo: SUV, Cor: Vermelho, Estação: 2, Funcionário: 0, Posição Esteira Fábrica: 30, Loja: 0, Posição Esteira Loja: 24
[2025-04-08 00:47:28] VENDA FÁBRICA - ID: 71, Tipo: SEDAN, Cor: Azul, Estação: 0, Funcionário: 2, Posição Esteira Fábrica: 31, Loja: 2, Posição Esteira Loja: 23
[2025-04-08 00:47:28] VENDA FÁBRICA - ID: 73, Tipo: SEDAN, Cor: Verde, Estação: 1, Funcionário: 3, Posição Esteira Fábrica: 32, Loja: 1, Posição Esteira Loja: 23
[2025-04-08 00:47:28] VENDA FÁBRICA - ID: 74, Tipo: SUV, Cor: Azul, Estação: 2, Funcionário: 2, Posição Esteira Fábrica: 33, Loja: 0, Posição Esteira Loja: 25
[2025-04-08 00:47:28] VENDA FÁBRICA - ID: 75, Tipo: SEDAN, Cor: Vermelho, Estação: 0, Funcionário: 0, Posição Esteira Fábrica: 34, Loja: 2, Posição Esteira Loja: 24
[2025-04-08 00:47:28] VENDA FÁBRICA - ID: 76, Tipo: SUV, Cor: Verde, Estação: 3, Funcionário: 3, Posição Esteira Fábrica: 35, Loja: 1, Posição Esteira Loja: 24
[2025-04-08 00:47:29] VENDA FÁBRICA - ID: 77, Tipo: SEDAN, Cor: Azul, Estação: 1, Funcionário: 1, Posição Esteira Fábrica: 36, Loja: 0, Posição Esteira Loja: 26
[2025-04-08 00:47:29] VENDA FÁBRICA - ID: 78, Tipo: SUV, Cor: Vermelho, Estação: 3, Funcionário: 1, Posição Esteira Fábrica: 37, Loja: 2, Posição Esteira Loja: 25
[2025-04-08 00:47:29] VENDA FÁBRICA - ID: 80, Tipo: SUV, Cor: Azul, Estação: 0, Funcionário: 3, Posição Esteira Fábrica: 38, Loja: 1, Posição Esteira Loja: 25
[2025-04-08 00:47:30] VENDA FÁBRICA - ID: 79, Tipo: SEDAN, Cor: Verde, Estação: 2, Funcionário: 4, Posição Esteira Fábrica: 39, Loja: 2, Posição Esteira Loja: 26
[2025-04-08 00:47:30] VENDA FÁBRICA - ID: 82, Tipo: SUV, Cor: Verde, Estação: 1, Funcionário: 4, Posição Esteira Fábrica: 0, Loja: 0, Posição Esteira Loja: 27
[2025-04-08 00:47:30] VENDA FÁBRICA - ID: 81, Tipo: SEDAN, Cor: Vermelho, Estação: 0, Funcionário: 1, Posição Esteira Fábrica: 1, Loja: 1, Posição Esteira Loja: 26
[2025-04-08 00:47:30] VENDA FÁBRICA - ID: 83, Tipo: SEDAN, Cor: Azul, Estação: 2, Funcionário: 1, Posição Esteira Fábrica: 2, Loja: 0, Posição Esteira Loja: 28
[2025-04-08 00:47:30] VENDA FÁBRICA - ID: 84, Tipo: SUV, Cor: Vermelho, Estação: 3, Funcionário: 4, Posição Esteira Fábrica: 3, Loja: 2, Posição Esteira Loja: 27
[2025-04-08 00:47:31] VENDA FÁBRICA - ID: 85, Tipo: SEDAN, Cor: Verde, Estação: 3, Funcionário: 2, Posição Esteira Fábrica: 4, Loja: 1, Posição Esteira Loja: 27
[2025-04-08 00:47:31] VENDA FÁBRICA - ID: 86, Tipo: SUV, Cor: Azul, Estação: 1, Funcionário: 2, Posição Esteira Fábrica: 5, Loja: 0, Posição Esteira Loja: 29
[2025-04-08 00:47:31] VENDA FÁBRICA - ID: 87, Tipo: SEDAN, Cor: Vermelho, Estação: 2, Funcionário: 3, Posição Esteira Fábrica: 6, Loja: 2, Posição Esteira Loja: 28
[2025-04-08 00:47:32] VENDA FÁBRICA - ID: 88, Tipo: SUV, Cor: Verde, Estação: 0, Funcionário: 4, Posição Esteira Fábrica: 7, Loja: 1, Posição Esteira Loja: 28
[2025-04-08 00:47:32] VENDA FÁBRICA - ID: 90, Tipo: SUV, Cor: Vermelho, Estação: 1, Funcionário: 0, Posição Esteira Fábrica: 8, Loja: 0, Posição Esteira Loja: 30
[2025-04-08 00:47:32] VENDA FÁBRICA - ID: 89, Tipo: SEDAN, Cor: Azul, Estação: 0, Funcionário: 2, Posição Esteira Fábrica: 9, Loja: 2, Posição Esteira Loja: 29
[2025-04-08 00:47:32] VENDA FÁBRICA - ID: 91, Tipo: SEDAN, Cor: Verde, Estação: 2, Funcionário: 0, Posição Esteira Fábrica: 10, Loja: 1, Posição Esteira Loja: 29
[2025-04-08 00:47:32] VENDA FÁBRICA - ID: 92, Tipo: SUV, Cor: Azul, Estação: 3, Funcionário: 0, Posição Esteira Fábrica: 11, Loja: 0, Posição Esteira Loja: 31
[2025-04-08 00:47:33] VENDA FÁBRICA - ID: 94, Tipo: SUV, Cor: Verde, Estação: 1, Funcionário: 3, Posição Esteira Fábrica: 12, Loja: 2, Posição Esteira Loja: 30
[2025-04-08 00:47:33] VENDA FÁBRICA - ID: 93, Tipo: SEDAN, Cor: Vermelho, Estação: 3, Funcionário: 3, Posição Esteira Fábrica: 13, Loja: 0, Posição Esteira Loja: 32
[2025-04-08 00:47:33] VENDA FÁBRICA - ID: 95, Tipo: SEDAN, Cor: Azul, Estação: 2, Funcionário: 2, Posição Esteira Fábrica: 14, Loja: 1, Posição Esteira Loja: 30
[2025-04-08 00:47:33] VENDA FÁBRICA - ID: 96, Tipo: SUV, Cor: Vermelho, Estação: 0, Funcionário: 0, Posição Esteira Fábrica: 15, Loja: 2, Posição Esteira Loja: 31
[2025-04-08 00:47:34] VENDA FÁBRICA - ID: 97, Tipo: SEDAN, Cor: Verde, Estação: 1, Funcionário: 1, Posição Esteira Fábrica: 16, Loja: 0, Posição Esteira Loja: 33
[2025-04-08 00:47:34] VENDA FÁBRICA - ID: 98, Tipo: SUV, Cor: Azul, Estação: 0, Funcionário: 3, Posição Esteira Fábrica: 17, Loja: 2, Posição Esteira Loja: 32
[2025-04-08 00:47:34] VENDA FÁBRICA - ID: 99, Tipo: SEDAN, Cor: Vermelho, Estação: 2, Funcionário: 4, Posição Esteira Fábrica: 18, Loja: 1, Posição Esteira Loja: 31
[2025-04-08 00:47:35] VENDA FÁBRICA - ID: 100, Tipo: SUV, Cor: Verde, Estação: 3, Funcionário: 1, Posição Esteira Fábrica: 19, Loja: 0, Posição Esteira Loja: 34
[2025-04-08 00:47:35] VENDA FÁBRICA - ID: 101, Tipo: SEDAN, Cor: Azul, Estação: 1, Funcionário: 4, Posição Esteira Fábrica: 20, Loja: 2, Posição Esteira Loja: 33
[2025-04-08 00:47:35] VENDA FÁBRICA - ID: 102, Tipo: SUV, Cor: Vermelho, Estação: 3, Funcionário: 4, Posição Esteira Fábrica: 21, Loja: 1, Posição Esteira Loja: 32
[2025-04-08 00:47:35] VENDA FÁBRICA - ID: 103, Tipo: SEDAN, Cor: Verde, Estação: 2, Funcionário: 1, Posição Esteira Fábrica: 22, Loja: 0, Posição Esteira Loja: 35
[2025-04-08 00:47:36] VENDA FÁBRICA - ID: 104, Tipo: SUV, Cor: Azul, Estação: 0, Funcionário: 1, Posição Esteira Fábrica: 23, Loja: 1, Posição Esteira Loja: 33
[2025-04-08 00:47:36] VENDA FÁBRICA - ID: 105, Tipo: SEDAN, Cor: Vermelho, Estação: 1, Funcionário: 2, Posição Esteira Fábrica: 24, Loja: 2, Posição Esteira Loja: 34
[2025-04-08 00:47:36] VENDA FÁBRICA - ID: 106, Tipo: SUV, Cor: Verde, Estação: 0, Funcionário: 4, Posição Esteira Fábrica: 25, Loja: 0, Posição Esteira Loja: 36
[2025-04-08 00:47:36] VENDA FÁBRICA - ID: 107, Tipo: SEDAN, Cor: Azul, Estação: 2, Funcionário: 3, Posição Esteira Fábrica: 26, Loja: 1, Posição Esteira Loja: 34
[2025-04-08 00:47:37] VENDA FÁBRICA - ID: 108, Tipo: SUV, Cor: Vermelho, Estação: 3, Funcionário: 2, Posição Esteira Fábrica: 27, Loja: 2, Posição Esteira Loja: 35
[2025-04-08 00:47:37] VENDA FÁBRICA - ID: 109, Tipo: SEDAN, Cor: Verde, Estação: 1, Funcionário: 0, Posição Esteira Fábrica: 28, Loja: 0, Posição Esteira Loja: 37
[2025-04-08 00:47:37] VENDA FÁBRICA - ID: 110, Tipo: SUV, Cor: Azul, Estação: 3, Funcionário: 0, Posição Esteira Fábrica: 29, Loja: 1, Posição Esteira Loja: 35
[2025-04-08 00:47:37] VENDA FÁBRICA - ID: 111, Tipo: SEDAN, Cor: Vermelho, Estação: 2, Funcionário: 0, Posição Esteira Fábrica: 30, Loja: 2, Posição Esteira Loja: 36
[2025-04-08 00:47:37] VENDA FÁBRICA - ID: 112, Tipo: SUV, Cor: Verde, Estação: 0, Funcionário: 2, Posição Esteira Fábrica: 31, Loja: 0, Posição Esteira Loja: 38
[2025-04-08 00:47:38] VENDA FÁBRICA - ID: 113, Tipo: SEDAN, Cor: Azul, Estação: 1, Funcionário: 3, Posição Esteira Fábrica: 32, Loja: 1, Posição Esteira Loja: 36
[2025-04-08 00:47:38] VENDA FÁBRICA - ID: 114, Tipo: SUV, Cor: Vermelho, Estação: 0, Funcionário: 0, Posição Esteira Fábrica: 33, Loja: 0, Posição Esteira Loja: 39
[2025-04-08 00:47:38] VENDA FÁBRICA - ID: 115, Tipo: SEDAN, Cor: Verde, Estação: 2, Funcionário: 2, Posição Esteira Fábrica: 34, Loja: 2, Posição Esteira Loja: 37
[2025-04-08 00:47:38] VENDA FÁBRICA - ID: 116, Tipo: SUV, Cor: Azul, Estação: 3, Funcionário: 3, Posição Esteira Fábrica: 35, Loja: 1, Posição Esteira Loja: 37
[2025-04-08 00:47:39] VENDA FÁBRICA - ID: 117, Tipo: SEDAN, Cor: Vermelho, Estação: 1, Funcionário: 1, Posição Esteira Fábrica: 36, Loja: 0, Posição Esteira Loja: 0
[2025-04-08 00:47:39] VENDA FÁBRICA - ID: 118, Tipo: SUV, Cor: Verde, Estação: 3, Funcionário: 1, Posição Esteira Fábrica: 37, Loja: 2, Posição Esteira Loja: 38
[2025-04-08 00:47:39] VENDA FÁBRICA - ID: 119, Tipo: SEDAN, Cor: Azul, Estação: 2, Funcionário: 4, Posição Esteira Fábrica: 38, Loja: 1, Posição Esteira Loja: 38
[2025-04-08 00:47:40] VENDA FÁBRICA - ID: 120, Tipo: SUV, Cor: Vermelho, Estação: 0, Funcionário: 3, Posição Esteira Fábrica: 39, Loja: 0, Posição Esteira Loja: 1
[2025-04-08 00:47:40] VENDA FÁBRICA - ID: 121, Tipo: SEDAN, Cor: Verde, Estação: 1, Funcionário: 4, Posição Esteira Fábrica: 0, Loja: 1, Posição Esteira Loja: 39
[2025-04-08 00:47:40] VENDA FÁBRICA - ID: 123, Tipo: SEDAN, Cor: Vermelho, Estação: 2, Funcionário: 1, Posição Esteira Fábrica: 1, Loja: 2, Posição Esteira Loja: 39
[2025-04-08 00:47:41] VENDA FÁBRICA - ID: 122, Tipo: SUV, Cor: Azul, Estação: 0, Funcionário: 1, Posição Esteira Fábrica: 2, Loja: 0, Posição Esteira Loja: 2
[2025-04-08 00:47:41] VENDA FÁBRICA - ID: 124, Tipo: SUV, Cor: Verde, Estação: 3, Funcionário: 4, Posição Esteira Fábrica: 3, Loja: 2, Posição Esteira Loja: 0
[2025-04-08 00:47:41] VENDA FÁBRICA - ID: 125, Tipo: SEDAN, Cor: Azul, Estação: 1, Funcionário: 2, Posição Esteira Fábrica: 4, Loja: 1, Posição Esteira Loja: 0
[2025-04-08 00:47:41] VENDA FÁBRICA - ID: 126, Tipo: SUV, Cor: Vermelho, Estação: 3, Funcionário: 2, Posição Esteira Fábrica: 5, Loja: 0, Posição Esteira Loja: 3
[2025-04-08 00:47:42] VENDA FÁBRICA - ID: 127, Tipo: SEDAN, Cor: Verde, Estação: 0, Funcionário: 4, Posição Esteira Fábrica: 6, Loja: 2, Posição Esteira Loja: 1
[2025-04-08 00:47:42] VENDA FÁBRICA - ID: 128, Tipo: SUV, Cor: Azul, Estação: 2, Funcionário: 3, Posição Esteira Fábrica: 7, Loja: 1, Posição Esteira Loja: 1
[2025-04-08 00:47:42] VENDA FÁBRICA - ID: 129, Tipo: SEDAN, Cor: Vermelho, Estação: 1, Funcionário: 0, Posição Esteira Fábrica: 8, Loja: 0, Posição Esteira Loja: 4
[2025-04-08 00:47:42] VENDA FÁBRICA - ID: 130, Tipo: SUV, Cor: Verde, Estação: 0, Funcionário: 2, Posição Esteira Fábrica: 9, Loja: 1, Posição Esteira Loja: 2
[2025-04-08 00:47:42] VENDA FÁBRICA - ID: 131, Tipo: SEDAN, Cor: Azul, Estação: 2, Funcionário: 0, Posição Esteira Fábrica: 10, Loja: 2, Posição Esteira Loja: 2
[2025-04-08 00:47:43] VENDA FÁBRICA - ID: 132, Tipo: SUV, Cor: Vermelho, Estação: 3, Funcionário: 0, Posição Esteira Fábrica: 11, Loja: 0, Posição Esteira Loja: 5
[2025-04-08 00:47:43] VENDA FÁBRICA - ID: 133, Tipo: SEDAN, Cor: Verde, Estação: 1, Funcionário: 3, Posição Esteira Fábrica: 12, Loja: 1, Posição Esteira Loja: 3
[2025-04-08 00:47:43] VENDA FÁBRICA - ID: 134, Tipo: SUV, Cor: Azul, Estação: 3, Funcionário: 3, Posição Esteira Fábrica: 13, Loja: 2, Posição Esteira Loja: 3
