[2025-04-07 13:51:02] VENDA FÁBRICA - ID: 8, Tipo: SUV, Cor: Azul, Estação: 1, Funcionário: 0, Posição Esteira Fábrica: 0, Loja: 0, Posição Esteira Loja: 0
[2025-04-07 13:51:09] VENDA FÁBRICA - ID: 27, Tipo: SEDAN, Cor: Vermelho, Estação: 1, Funcionário: 0, Posição Esteira Fábrica: 27, Loja: 0, Posição Esteira Loja: 0
[2025-04-07 13:51:09] VENDA FÁBRICA - ID: 30, Tipo: SUV, Cor: Vermelho, Estação: 2, Funcionário: 0, Posição Esteira Fábrica: 28, Loja: 1, Posição Esteira Loja: 0
[2025-04-07 13:51:10] VENDA FÁBRICA - ID: 32, Tipo: SUV, Cor: Azul, Estação: 1, Funcionário: 3, Posição Esteira Fábrica: 29, Loja: 0, Posição Esteira Loja: 0
[2025-04-07 13:51:10] VENDA FÁBRICA - ID: 29, Tipo: SEDAN, Cor: Azul, Estação: 3, Funcionário: 0, Posição Esteira Fábrica: 30, Loja: 1, Posição Esteira Loja: 0
[2025-04-07 13:51:10] VENDA FÁBRICA - ID: 31, Tipo: SEDAN, Cor: Verde, Estação: 0, Funcionário: 2, Posição Esteira Fábrica: 31, Loja: 2, Posição Esteira Loja: 0
[2025-04-07 13:51:10] VENDA FÁBRICA - ID: 34, Tipo: SUV, Cor: Verde, Estação: 2, Funcionário: 2, Posição Esteira Fábrica: 32, Loja: 0, Posição Esteira Loja: 0
[2025-04-07 13:51:11] VENDA FÁBRICA - ID: 33, Tipo: SEDAN, Cor: Vermelho, Estação: 0, Funcionário: 0, Posição Esteira Fábrica: 33, Loja: 1, Posição Esteira Loja: 0
[2025-04-07 13:51:11] VENDA FÁBRICA - ID: 35, Tipo: SEDAN, Cor: Azul, Estação: 3, Funcionário: 2, Posição Esteira Fábrica: 34, Loja: 2, Posição Esteira Loja: 0
[2025-04-07 13:51:11] VENDA FÁBRICA - ID: 36, Tipo: SUV, Cor: Vermelho, Estação: 1, Funcionário: 1, Posição Esteira Fábrica: 35, Loja: 0, Posição Esteira Loja: 0
[2025-04-07 13:51:12] VENDA FÁBRICA - ID: 39, Tipo: SEDAN, Cor: Vermelho, Estação: 3, Funcionário: 4, Posição Esteira Fábrica: 36, Loja: 2, Posição Esteira Loja: 0
[2025-04-07 13:51:12] VENDA FÁBRICA - ID: 40, Tipo: SUV, Cor: Verde, Estação: 2, Funcionário: 4, Posição Esteira Fábrica: 37, Loja: 1, Posição Esteira Loja: 0
[2025-04-07 13:51:12] VENDA FÁBRICA - ID: 37, Tipo: SEDAN, Cor: Verde, Estação: 1, Funcionário: 4, Posição Esteira Fábrica: 38, Loja: 0, Posição Esteira Loja: 0
[2025-04-07 13:51:12] VENDA FÁBRICA - ID: 38, Tipo: SUV, Cor: Azul, Estação: 0, Funcionário: 3, Posição Esteira Fábrica: 39, Loja: 2, Posição Esteira Loja: 0
[2025-04-07 13:51:12] VENDA FÁBRICA - ID: 42, Tipo: SUV, Cor: Vermelho, Estação: 2, Funcionário: 1, Posição Esteira Fábrica: 0, Loja: 0, Posição Esteira Loja: 0
[2025-04-07 13:51:12] VENDA FÁBRICA - ID: 41, Tipo: SEDAN, Cor: Azul, Estação: 0, Funcionário: 1, Posição Esteira Fábrica: 1, Loja: 1, Posição Esteira Loja: 0
[2025-04-07 13:51:13] VENDA FÁBRICA - ID: 43, Tipo: SEDAN, Cor: Verde, Estação: 3, Funcionário: 1, Posição Esteira Fábrica: 2, Loja: 0, Posição Esteira Loja: 0
[2025-04-07 13:51:13] VENDA FÁBRICA - ID: 44, Tipo: SUV, Cor: Azul, Estação: 1, Funcionário: 2, Posição Esteira Fábrica: 3, Loja: 2, Posição Esteira Loja: 0
[2025-04-07 13:51:13] VENDA FÁBRICA - ID: 46, Tipo: SUV, Cor: Verde, Estação: 3, Funcionário: 3, Posição Esteira Fábrica: 4, Loja: 1, Posição Esteira Loja: 0
[2025-04-07 13:51:14] VENDA FÁBRICA - ID: 45, Tipo: SEDAN, Cor: Vermelho, Estação: 2, Funcionário: 3, Posição Esteira Fábrica: 5, Loja: 0, Posição Esteira Loja: 0
[2025-04-07 13:51:14] VENDA FÁBRICA - ID: 47, Tipo: SEDAN, Cor: Azul, Estação: 0, Funcionário: 4, Posição Esteira Fábrica: 6, Loja: 1, Posição Esteira Loja: 0
[2025-04-07 13:51:14] VENDA FÁBRICA - ID: 48, Tipo: SUV, Cor: Vermelho, Estação: 1, Funcionário: 0, Posição Esteira Fábrica: 7, Loja: 2, Posição Esteira Loja: 0
[2025-04-07 13:51:14] VENDA FÁBRICA - ID: 50, Tipo: SUV, Cor: Azul, Estação: 2, Funcionário: 0, Posição Esteira Fábrica: 8, Loja: 0, Posição Esteira Loja: 0
[2025-04-07 13:51:15] VENDA FÁBRICA - ID: 49, Tipo: SEDAN, Cor: Verde, Estação: 0, Funcionário: 2, Posição Esteira Fábrica: 9, Loja: 1, Posição Esteira Loja: 0
[2025-04-07 13:51:15] VENDA FÁBRICA - ID: 51, Tipo: SEDAN, Cor: Vermelho, Estação: 3, Funcionário: 0, Posição Esteira Fábrica: 10, Loja: 0, Posição Esteira Loja: 0
[2025-04-07 13:51:15] VENDA FÁBRICA - ID: 52, Tipo: SUV, Cor: Verde, Estação: 1, Funcionário: 3, Posição Esteira Fábrica: 11, Loja: 2, Posição Esteira Loja: 0
[2025-04-07 13:51:15] VENDA FÁBRICA - ID: 53, Tipo: SEDAN, Cor: Azul, Estação: 3, Funcionário: 2, Posição Esteira Fábrica: 12, Loja: 1, Posição Esteira Loja: 0
[2025-04-07 13:51:16] VENDA FÁBRICA - ID: 54, Tipo: SUV, Cor: Vermelho, Estação: 2, Funcionário: 2, Posição Esteira Fábrica: 13, Loja: 0, Posição Esteira Loja: 0
[2025-04-07 13:51:16] VENDA FÁBRICA - ID: 55, Tipo: SEDAN, Cor: Verde, Estação: 1, Funcionário: 1, Posição Esteira Fábrica: 14, Loja: 2, Posição Esteira Loja: 0
[2025-04-07 13:51:16] VENDA FÁBRICA - ID: 56, Tipo: SUV, Cor: Azul, Estação: 0, Funcionário: 0, Posição Esteira Fábrica: 15, Loja: 1, Posição Esteira Loja: 0
[2025-04-07 13:51:16] VENDA FÁBRICA - ID: 57, Tipo: SEDAN, Cor: Vermelho, Estação: 0, Funcionário: 3, Posição Esteira Fábrica: 16, Loja: 1, Posição Esteira Loja: 0
[2025-04-07 13:51:16] VENDA FÁBRICA - ID: 58, Tipo: SUV, Cor: Verde, Estação: 2, Funcionário: 4, Posição Esteira Fábrica: 17, Loja: 2, Posição Esteira Loja: 0
[2025-04-07 13:51:17] VENDA FÁBRICA - ID: 59, Tipo: SEDAN, Cor: Azul, Estação: 3, Funcionário: 4, Posição Esteira Fábrica: 18, Loja: 0, Posição Esteira Loja: 0
[2025-04-07 13:51:17] VENDA FÁBRICA - ID: 60, Tipo: SUV, Cor: Vermelho, Estação: 1, Funcionário: 4, Posição Esteira Fábrica: 19, Loja: 1, Posição Esteira Loja: 0
[2025-04-07 13:51:17] VENDA FÁBRICA - ID: 61, Tipo: SEDAN, Cor: Verde, Estação: 2, Funcionário: 1, Posição Esteira Fábrica: 20, Loja: 0, Posição Esteira Loja: 0
[2025-04-07 13:51:17] VENDA FÁBRICA - ID: 62, Tipo: SUV, Cor: Azul, Estação: 3, Funcionário: 1, Posição Esteira Fábrica: 21, Loja: 2, Posição Esteira Loja: 0
[2025-04-07 13:51:18] VENDA FÁBRICA - ID: 63, Tipo: SEDAN, Cor: Vermelho, Estação: 1, Funcionário: 2, Posição Esteira Fábrica: 22, Loja: 2, Posição Esteira Loja: 0
[2025-04-07 13:51:18] VENDA FÁBRICA - ID: 64, Tipo: SUV, Cor: Verde, Estação: 0, Funcionário: 1, Posição Esteira Fábrica: 23, Loja: 1, Posição Esteira Loja: 0
[2025-04-07 13:51:18] VENDA FÁBRICA - ID: 65, Tipo: SEDAN, Cor: Azul, Estação: 0, Funcionário: 4, Posição Esteira Fábrica: 24, Loja: 0, Posição Esteira Loja: 0
[2025-04-07 13:51:19] VENDA FÁBRICA - ID: 66, Tipo: SUV, Cor: Vermelho, Estação: 2, Funcionário: 3, Posição Esteira Fábrica: 25, Loja: 1, Posição Esteira Loja: 0
[2025-04-07 13:51:19] VENDA FÁBRICA - ID: 68, Tipo: SUV, Cor: Azul, Estação: 1, Funcionário: 0, Posição Esteira Fábrica: 26, Loja: 2, Posição Esteira Loja: 0
[2025-04-07 13:51:19] VENDA FÁBRICA - ID: 67, Tipo: SEDAN, Cor: Verde, Estação: 3, Funcionário: 3, Posição Esteira Fábrica: 27, Loja: 0, Posição Esteira Loja: 0
[2025-04-07 13:51:19] VENDA FÁBRICA - ID: 70, Tipo: SUV, Cor: Verde, Estação: 2, Funcionário: 0, Posição Esteira Fábrica: 28, Loja: 2, Posição Esteira Loja: 0
[2025-04-07 13:51:19] VENDA FÁBRICA - ID: 69, Tipo: SEDAN, Cor: Vermelho, Estação: 3, Funcionário: 0, Posição Esteira Fábrica: 29, Loja: 1, Posição Esteira Loja: 0
[2025-04-07 13:51:20] VENDA FÁBRICA - ID: 71, Tipo: SEDAN, Cor: Azul, Estação: 1, Funcionário: 3, Posição Esteira Fábrica: 30, Loja: 0, Posição Esteira Loja: 0
[2025-04-07 13:51:20] VENDA FÁBRICA - ID: 72, Tipo: SUV, Cor: Vermelho, Estação: 0, Funcionário: 2, Posição Esteira Fábrica: 31, Loja: 2, Posição Esteira Loja: 0
[2025-04-07 13:51:20] VENDA FÁBRICA - ID: 73, Tipo: SEDAN, Cor: Verde, Estação: 0, Funcionário: 0, Posição Esteira Fábrica: 32, Loja: 1, Posição Esteira Loja: 0
[2025-04-07 13:51:20] VENDA FÁBRICA - ID: 74, Tipo: SUV, Cor: Azul, Estação: 2, Funcionário: 2, Posição Esteira Fábrica: 33, Loja: 0, Posição Esteira Loja: 0
[2025-04-07 13:51:21] VENDA FÁBRICA - ID: 76, Tipo: SUV, Cor: Verde, Estação: 1, Funcionário: 1, Posição Esteira Fábrica: 34, Loja: 2, Posição Esteira Loja: 0
[2025-04-07 13:51:21] VENDA FÁBRICA - ID: 75, Tipo: SEDAN, Cor: Vermelho, Estação: 3, Funcionário: 2, Posição Esteira Fábrica: 35, Loja: 0, Posição Esteira Loja: 0
[2025-04-07 13:51:21] VENDA FÁBRICA - ID: 78, Tipo: SUV, Cor: Vermelho, Estação: 3, Funcionário: 4, Posição Esteira Fábrica: 36, Loja: 1, Posição Esteira Loja: 0
[2025-04-07 13:51:22] VENDA FÁBRICA - ID: 77, Tipo: SEDAN, Cor: Azul, Estação: 2, Funcionário: 4, Posição Esteira Fábrica: 37, Loja: 1, Posição Esteira Loja: 0
[2025-04-07 13:51:22] VENDA FÁBRICA - ID: 79, Tipo: SEDAN, Cor: Verde, Estação: 1, Funcionário: 4, Posição Esteira Fábrica: 38, Loja: 2, Posição Esteira Loja: 0
[2025-04-07 13:51:22] VENDA FÁBRICA - ID: 80, Tipo: SUV, Cor: Azul, Estação: 0, Funcionário: 3, Posição Esteira Fábrica: 39, Loja: 0, Posição Esteira Loja: 0
[2025-04-07 13:51:22] VENDA FÁBRICA - ID: 81, Tipo: SEDAN, Cor: Vermelho, Estação: 0, Funcionário: 1, Posição Esteira Fábrica: 0, Loja: 1, Posição Esteira Loja: 0
[2025-04-07 13:51:22] VENDA FÁBRICA - ID: 82, Tipo: SUV, Cor: Verde, Estação: 2, Funcionário: 1, Posição Esteira Fábrica: 1, Loja: 0, Posição Esteira Loja: 0
[2025-04-07 13:51:22] VENDA FÁBRICA - ID: 83, Tipo: SEDAN, Cor: Azul, Estação: 1, Funcionário: 2, Posição Esteira Fábrica: 2, Loja: 2, Posição Esteira Loja: 0
[2025-04-07 13:51:23] VENDA FÁBRICA - ID: 84, Tipo: SUV, Cor: Vermelho, Estação: 3, Funcionário: 1, Posição Esteira Fábrica: 3, Loja: 1, Posição Esteira Loja: 0
[2025-04-07 13:51:23] VENDA FÁBRICA - ID: 87, Tipo: SEDAN, Cor: Vermelho, Estação: 0, Funcionário: 4, Posição Esteira Fábrica: 4, Loja: 2, Posição Esteira Loja: 0
[2025-04-07 13:51:23] VENDA FÁBRICA - ID: 85, Tipo: SEDAN, Cor: Verde, Estação: 3, Funcionário: 3, Posição Esteira Fábrica: 5, Loja: 0, Posição Esteira Loja: 0
[2025-04-07 13:51:24] VENDA FÁBRICA - ID: 88, Tipo: SUV, Cor: Verde, Estação: 1, Funcionário: 0, Posição Esteira Fábrica: 6, Loja: 1, Posição Esteira Loja: 0
[2025-04-07 13:51:24] VENDA FÁBRICA - ID: 86, Tipo: SUV, Cor: Azul, Estação: 2, Funcionário: 3, Posição Esteira Fábrica: 7, Loja: 0, Posição Esteira Loja: 0
[2025-04-07 13:51:24] VENDA FÁBRICA - ID: 90, Tipo: SUV, Cor: Vermelho, Estação: 0, Funcionário: 2, Posição Esteira Fábrica: 8, Loja: 2, Posição Esteira Loja: 0
[2025-04-07 13:51:24] VENDA FÁBRICA - ID: 89, Tipo: SEDAN, Cor: Azul, Estação: 2, Funcionário: 0, Posição Esteira Fábrica: 9, Loja: 0, Posição Esteira Loja: 0
[2025-04-07 13:51:25] VENDA FÁBRICA - ID: 91, Tipo: SEDAN, Cor: Verde, Estação: 1, Funcionário: 3, Posição Esteira Fábrica: 10, Loja: 1, Posição Esteira Loja: 0
[2025-04-07 13:51:25] VENDA FÁBRICA - ID: 92, Tipo: SUV, Cor: Azul, Estação: 3, Funcionário: 0, Posição Esteira Fábrica: 11, Loja: 2, Posição Esteira Loja: 0
[2025-04-07 13:51:25] VENDA FÁBRICA - ID: 93, Tipo: SEDAN, Cor: Vermelho, Estação: 0, Funcionário: 0, Posição Esteira Fábrica: 12, Loja: 0, Posição Esteira Loja: 0
[2025-04-07 13:51:25] VENDA FÁBRICA - ID: 94, Tipo: SUV, Cor: Verde, Estação: 3, Funcionário: 2, Posição Esteira Fábrica: 13, Loja: 1, Posição Esteira Loja: 0
[2025-04-07 13:51:25] VENDA FÁBRICA - ID: 95, Tipo: SEDAN, Cor: Azul, Estação: 2, Funcionário: 2, Posição Esteira Fábrica: 14, Loja: 2, Posição Esteira Loja: 0
[2025-04-07 13:51:26] VENDA FÁBRICA - ID: 96, Tipo: SUV, Cor: Vermelho, Estação: 1, Funcionário: 1, Posição Esteira Fábrica: 15, Loja: 0, Posição Esteira Loja: 0
[2025-04-07 13:51:26] VENDA FÁBRICA - ID: 98, Tipo: SUV, Cor: Azul, Estação: 2, Funcionário: 4, Posição Esteira Fábrica: 16, Loja: 2, Posição Esteira Loja: 0
[2025-04-07 13:51:26] VENDA FÁBRICA - ID: 97, Tipo: SEDAN, Cor: Verde, Estação: 0, Funcionário: 3, Posição Esteira Fábrica: 17, Loja: 1, Posição Esteira Loja: 0
[2025-04-07 13:51:26] VENDA FÁBRICA - ID: 99, Tipo: SEDAN, Cor: Vermelho, Estação: 1, Funcionário: 4, Posição Esteira Fábrica: 18, Loja: 0, Posição Esteira Loja: 0
[2025-04-07 13:51:27] VENDA FÁBRICA - ID: 100, Tipo: SUV, Cor: Verde, Estação: 3, Funcionário: 4, Posição Esteira Fábrica: 19, Loja: 1, Posição Esteira Loja: 0
[2025-04-07 13:51:27] VENDA FÁBRICA - ID: 101, Tipo: SEDAN, Cor: Azul, Estação: 0, Funcionário: 1, Posição Esteira Fábrica: 20, Loja: 2, Posição Esteira Loja: 0
[2025-04-07 13:51:27] VENDA FÁBRICA - ID: 102, Tipo: SUV, Cor: Vermelho, Estação: 3, Funcionário: 1, Posição Esteira Fábrica: 21, Loja: 0, Posição Esteira Loja: 0
[2025-04-07 13:51:27] VENDA FÁBRICA - ID: 103, Tipo: SEDAN, Cor: Verde, Estação: 2, Funcionário: 1, Posição Esteira Fábrica: 22, Loja: 1, Posição Esteira Loja: 0
[2025-04-07 13:51:28] VENDA FÁBRICA - ID: 104, Tipo: SUV, Cor: Azul, Estação: 1, Funcionário: 2, Posição Esteira Fábrica: 23, Loja: 2, Posição Esteira Loja: 0
[2025-04-07 13:51:28] VENDA FÁBRICA - ID: 105, Tipo: SEDAN, Cor: Vermelho, Estação: 2, Funcionário: 3, Posição Esteira Fábrica: 24, Loja: 0, Posição Esteira Loja: 0
[2025-04-07 13:51:28] VENDA FÁBRICA - ID: 106, Tipo: SUV, Cor: Verde, Estação: 0, Funcionário: 4, Posição Esteira Fábrica: 25, Loja: 1, Posição Esteira Loja: 0
[2025-04-07 13:51:29] VENDA FÁBRICA - ID: 107, Tipo: SEDAN, Cor: Azul, Estação: 1, Funcionário: 0, Posição Esteira Fábrica: 26, Loja: 0, Posição Esteira Loja: 0
[2025-04-07 13:51:29] VENDA FÁBRICA - ID: 108, Tipo: SUV, Cor: Vermelho, Estação: 3, Funcionário: 3, Posição Esteira Fábrica: 27, Loja: 2, Posição Esteira Loja: 0
[2025-04-07 13:51:29] VENDA FÁBRICA - ID: 109, Tipo: SEDAN, Cor: Verde, Estação: 0, Funcionário: 2, Posição Esteira Fábrica: 28, Loja: 1, Posição Esteira Loja: 0
[2025-04-07 13:51:29] VENDA FÁBRICA - ID: 110, Tipo: SUV, Cor: Azul, Estação: 3, Funcionário: 0, Posição Esteira Fábrica: 29, Loja: 0, Posição Esteira Loja: 0
[2025-04-07 13:51:29] VENDA FÁBRICA - ID: 111, Tipo: SEDAN, Cor: Vermelho, Estação: 1, Funcionário: 3, Posição Esteira Fábrica: 30, Loja: 2, Posição Esteira Loja: 0
[2025-04-07 13:51:30] VENDA FÁBRICA - ID: 112, Tipo: SUV, Cor: Verde, Estação: 2, Funcionário: 0, Posição Esteira Fábrica: 31, Loja: 1, Posição Esteira Loja: 0
[2025-04-07 13:51:30] VENDA FÁBRICA - ID: 114, Tipo: SUV, Cor: Vermelho, Estação: 0, Funcionário: 0, Posição Esteira Fábrica: 32, Loja: 0, Posição Esteira Loja: 0
[2025-04-07 13:51:30] VENDA FÁBRICA - ID: 113, Tipo: SEDAN, Cor: Azul, Estação: 2, Funcionário: 2, Posição Esteira Fábrica: 33, Loja: 2, Posição Esteira Loja: 0
[2025-04-07 13:51:30] VENDA FÁBRICA - ID: 115, Tipo: SEDAN, Cor: Verde, Estação: 1, Funcionário: 1, Posição Esteira Fábrica: 34, Loja: 1, Posição Esteira Loja: 0
[2025-04-07 13:51:31] VENDA FÁBRICA - ID: 116, Tipo: SUV, Cor: Azul, Estação: 3, Funcionário: 2, Posição Esteira Fábrica: 35, Loja: 0, Posição Esteira Loja: 0
[2025-04-07 13:51:31] VENDA FÁBRICA - ID: 117, Tipo: SEDAN, Cor: Vermelho, Estação: 0, Funcionário: 3, Posição Esteira Fábrica: 36, Loja: 2, Posição Esteira Loja: 0
[2025-04-07 13:51:31] VENDA FÁBRICA - ID: 118, Tipo: SUV, Cor: Verde, Estação: 3, Funcionário: 4, Posição Esteira Fábrica: 37, Loja: 1, Posição Esteira Loja: 0
[2025-04-07 13:51:31] VENDA FÁBRICA - ID: 120, Tipo: SUV, Cor: Vermelho, Estação: 2, Funcionário: 4, Posição Esteira Fábrica: 38, Loja: 0, Posição Esteira Loja: 0
[2025-04-07 13:51:32] VENDA FÁBRICA - ID: 119, Tipo: SEDAN, Cor: Azul, Estação: 1, Funcionário: 4, Posição Esteira Fábrica: 39, Loja: 2, Posição Esteira Loja: 0
[2025-04-07 13:51:32] VENDA FÁBRICA - ID: 121, Tipo: SEDAN, Cor: Verde, Estação: 2, Funcionário: 1, Posição Esteira Fábrica: 0, Loja: 1, Posição Esteira Loja: 0
[2025-04-07 13:51:32] VENDA FÁBRICA - ID: 122, Tipo: SUV, Cor: Azul, Estação: 0, Funcionário: 1, Posição Esteira Fábrica: 1, Loja: 0, Posição Esteira Loja: 0
[2025-04-07 13:51:32] VENDA FÁBRICA - ID: 123, Tipo: SEDAN, Cor: Vermelho, Estação: 1, Funcionário: 2, Posição Esteira Fábrica: 2, Loja: 2, Posição Esteira Loja: 0
[2025-04-07 13:51:33] VENDA FÁBRICA - ID: 124, Tipo: SUV, Cor: Verde, Estação: 3, Funcionário: 1, Posição Esteira Fábrica: 3, Loja: 0, Posição Esteira Loja: 0
[2025-04-07 13:51:33] VENDA FÁBRICA - ID: 125, Tipo: SEDAN, Cor: Azul, Estação: 0, Funcionário: 4, Posição Esteira Fábrica: 4, Loja: 1, Posição Esteira Loja: 0
[2025-04-07 13:51:33] VENDA FÁBRICA - ID: 126, Tipo: SUV, Cor: Vermelho, Estação: 3, Funcionário: 3, Posição Esteira Fábrica: 5, Loja: 0, Posição Esteira Loja: 0
[2025-04-07 13:51:33] VENDA FÁBRICA - ID: 127, Tipo: SEDAN, Cor: Verde, Estação: 1, Funcionário: 0, Posição Esteira Fábrica: 6, Loja: 2, Posição Esteira Loja: 0
[2025-04-07 13:51:34] VENDA FÁBRICA - ID: 128, Tipo: SUV, Cor: Azul, Estação: 2, Funcionário: 3, Posição Esteira Fábrica: 7, Loja: 1, Posição Esteira Loja: 0
[2025-04-07 13:51:34] VENDA FÁBRICA - ID: 129, Tipo: SEDAN, Cor: Vermelho, Estação: 2, Funcionário: 0, Posição Esteira Fábrica: 8, Loja: 0, Posição Esteira Loja: 0
[2025-04-07 13:51:34] VENDA FÁBRICA - ID: 130, Tipo: SUV, Cor: Verde, Estação: 0, Funcionário: 2, Posição Esteira Fábrica: 9, Loja: 2, Posição Esteira Loja: 0
[2025-04-07 13:51:35] VENDA FÁBRICA - ID: 131, Tipo: SEDAN, Cor: Azul, Estação: 3, Funcionário: 0, Posição Esteira Fábrica: 10, Loja: 1, Posição Esteira Loja: 0
[2025-04-07 13:51:35] VENDA FÁBRICA - ID: 132, Tipo: SUV, Cor: Vermelho, Estação: 1, Funcionário: 3, Posição Esteira Fábrica: 11, Loja: 0, Posição Esteira Loja: 0
[2025-04-07 13:51:35] VENDA FÁBRICA - ID: 134, Tipo: SUV, Cor: Azul, Estação: 3, Funcionário: 2, Posição Esteira Fábrica: 12, Loja: 1, Posição Esteira Loja: 0
[2025-04-07 13:51:35] VENDA FÁBRICA - ID: 133, Tipo: SEDAN, Cor: Verde, Estação: 0, Funcionário: 0, Posição Esteira Fábrica: 13, Loja: 2, Posição Esteira Loja: 0
